Rion paiement;Nom de l'oeuvre;Identifiant de l'oeuvre;Nom compositeur;Genre;Familles;Types d'utilisation;Utilisateurs;Pays;Période d’exploitation;Quantité;Titre de l'oeuvre liée;Genre de l'oeuvre liée;Oeuvre composite;Titre du support;Type de support;Producteur;Marque;Produit;EAN13;Référence Catalogue;Répartition d'origine;Type de répartition;Type de remboursement;Titulaire du catalogue;Catalogue éditorial;COAD du catalogue éditorial;Rôle;Catalogue éditorial original;COAD du catalogue éditorial original;Origine éditoriale;Répertoire DE;Répertoire PHONO;Clé DE;Clé DR;Clé PHONO;Montant DE (Euros);Montant DR (Euros);Montant Phono (Euros);Mes droits en NET (Euros)
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Copie privée;Copie privée sonore (Phono);Multi utilisateurs;FRANCE;2020S2;7783;;;;;;;;;;;654;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;;;8,34000015;0,000000;0,000000;69,170000;69,170000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Deezer;ROYAUME-UNI;2021T2;192;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,030000;0,000000;0,000000;0,030000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Radio;Radio hertzienne;Independants divers (GIE);FRANCE;2019S1;2;;;;;;;;;;;649;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;11,11999989;8,34000015;;0,400000;0,070000;0,000000;0,470000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;ALLEMAGNE;2021T2;566;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,080000;0,000000;0,000000;0,080000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;IRLANDE;2021T2;512;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,060000;0,000000;0,000000;0,060000
659;FIRE;4362423911;BORA VAKENE;Chant;Online;Streaming;Spotify;FRANCE;2021T4;4655;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11110020;;8,34000015;0,120000;0,000000;0,240000;0,360000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Copie privée;Copie privée sonore (Radio);Multi utilisateurs;FRANCE;2020S1;2;;;;;;;;;;;652;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;;;8,34000015;0,000000;0,000000;18,210000;18,210000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;DANEMARK;2021T3;41;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ROYAUME-UNI;2021T3;5048;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,050000;0,000000;0,000000;0,050000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;LUXEMBOURG;2021T3;2860;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,050000;0,000000;0,030000;0,080000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ALLEMAGNE;2021T3;7566;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,190000;0,000000;0,000000;0,190000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Etranger;;STIM;SUEDE;2020;;;;;;;;;;;;656;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;;;8,34000015;;;0,090000;0,000000;0,000000;0,090000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Napster Rhapsody;FRANCE;2021T4;3124;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,150000;0,000000;0,290000;0,440000
656;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;SUISSE;2021T1;5671;;;;;;;;;;;656;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,820000;0,000000;0,000000;0,820000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;LUXEMBOURG;2021T4;267;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;A-SACEM;;;8,34000015;0,000000;0,000000;0,080000;0,080000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Sonorisation;Musique de Sonorisation (CMS);Multi utilisateurs;FRANCE;2020S1;1;;;;;;;;;;;654;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;11,11999989;8,34000015;;0,170000;0,050000;0,000000;0,220000
659;IDEE NOIRE;3815751311;MARLETTA LUIGI;Chant;Online;Streaming;APPLE Music;SUISSE;2022T1;226;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,33333015;;;0,050000;0,000000;0,000000;0,050000
656;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ROYAUME-UNI;2021T1;161;;;;;;;;;;;656;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,020000;0,000000;0,000000;0,020000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;DANEMARK;2021T4;35;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;SUISSE;2021T2;53966;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;1,280000;0,000000;0,000000;1,280000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;FRANCE;2021T4;116561;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;3,530000;0,000000;7,880000;11,410000
656;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ROYAUME-UNI;2021T2;174;;;;;;;;;;;656;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,020000;0,000000;0,000000;0,020000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;ALLEMAGNE;2021T3;339;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,030000;0,000000;0,000000;0,030000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Napster Rhapsody;FRANCE;2021T3;7635;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,320000;0,000000;0,700000;1,020000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;LUXEMBOURG;2021T4;2864;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,040000;0,000000;0,030000;0,070000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ALLEMAGNE;2021T2;13650;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,290000;0,000000;0,000000;0,290000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;ROYAUME-UNI;2021T2;3738;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,220000;0,000000;0,000000;0,220000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;SUEDE;2021T2;115;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,030000;0,000000;0,000000;0,030000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;ALLEMAGNE;2021T4;11987;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,690000;0,000000;0,000000;0,690000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ROYAUME-UNI;2021T1;146;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;FRANCE;2021T2;139544;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;5,790000;0,000000;12,930000;18,720000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;MONACO;2021T2;137;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;;A-SACEM;;;8,34000015;0,000000;0,000000;0,030000;0,030000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;BELGIQUE;2021T4;163176;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;2,360000;0,000000;0,000000;2,360000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;GUADELOUPE;2021T4;8804;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,030000;0,000000;0,020000;0,050000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;BELGIQUE;2021T4;89736;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;4,240000;0,000000;0,000000;4,240000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ALLEMAGNE;2021T4;609;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,070000;0,000000;0,000000;0,070000
657;FIRE;4362423911;BORA VAKENE;Chant;Online;Plateforme Web;TIK TOK;FRANCE;2021T1;13949;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11110020;;8,34000015;0,010000;0,000000;0,010000;0,020000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ESPAGNE;2021T4;92;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;IRLANDE;2021T2;512;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,060000;0,000000;0,000000;0,060000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;ALLEMAGNE;2021T2;566;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,080000;0,000000;0,000000;0,080000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ALLEMAGNE;2021T2;13650;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,290000;0,000000;0,000000;0,290000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;FINLANDE;2021T4;105;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,020000;0,000000;0,000000;0,020000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Deezer;ESPAGNE;2021T4;112;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;FIRE;4362423911;BORA VAKENE;Chant;Online;Streaming;Spotify;SUISSE;2021T2;276;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,33333015;;;0,040000;0,000000;0,000000;0,040000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;NORVEGE;2021T2;470;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,050000;0,000000;0,000000;0,050000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;FRANCE;2021T1;1284681;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;13,490000;0,000000;10,120000;23,610000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ALGERIE;2021T4;6622;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Deezer;LUXEMBOURG;2021T3;108;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;;A-SACEM;;;8,34000015;0,000000;0,000000;0,010000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Phono;Centralisation;Universal Music France;FRANCE;2020S1;7721;;;;;;;;;;060075389977;653;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;;;;;8,34000015;0,000000;0,000000;16,190000;16,190000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Deezer;BELGIQUE;2021T2;930;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,060000;0,000000;0,000000;0,060000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ITALIE;2021T4;44;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;SUEDE;2021T4;937;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,090000;0,000000;0,000000;0,090000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;GUADELOUPE;2021T4;72;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;A-SACEM;;;8,34000015;0,000000;0,000000;0,020000;0,020000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;PAYS-BAS;2021T2;1646;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,040000;0,000000;0,000000;0,040000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;ITALIE;2021T4;2579;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,100000;0,000000;0,000000;0,100000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;SUISSE;2021T2;55586;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;3,990000;0,000000;0,000000;3,990000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Amazon;FRANCE;2020T1;2228;;;;;;;;;;;658;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,200000;0,000000;0,400000;0,600000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ESPAGNE;2021T3;5101;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,060000;0,000000;0,000000;0,060000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;MARTINIQUE;2021T4;6736;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,020000;0,000000;0,020000;0,040000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;PAYS-BAS;2021T1;924;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ALGERIE;2021T2;8667;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
656;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;BELGIQUE;2021T2;8306;;;;;;;;;;;656;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,870000;0,000000;0,000000;0,870000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;SUISSE;2021T3;4379;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,790000;0,000000;0,000000;0,790000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Télévision;TV Cable;W9;FRANCE;2021S2;6;AMOUR DE JEUNESSE;Clip;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;11,11999989;8,34000015;;22,580000;1,890000;0,000000;24,470000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;LUXEMBOURG;2021T4;352;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,030000;0,000000;0,080000;0,110000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;LUXEMBOURG;2021T4;3394;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,180000;0,000000;0,360000;0,540000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;PORTUGAL;2021T4;1417;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;PAYS-BAS;2021T3;1687;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,120000;0,000000;0,000000;0,120000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Radio;Radio hertzienne;Independants divers (GIE);FRANCE;2019S2;155;;;;;;;;;;;651;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;11,11999989;8,34000015;;30,560000;5,090000;0,000000;35,650000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;INDE;2021T2;573;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;SUEDE;2021T4;192;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;ROYAUME-UNI;2021T1;1660;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;ITALIE;2021T4;44;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
